Book ID,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Role,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
123222054,The Monadology,5,"Leibniz, Gottfried Wilhelm",Author,"Latta, Robert",Translator,"CreateSpace Independent Publishing Platform (2015), 30 pages",2015,,,,,The Monadology by Gottfried Wilhelm Leibniz (2015),Paperback,30 p.; 5 inches,0.09 pounds,5 inches,8 inches,0.07 inches,5 x 0.07 x 8 inches,30 ,,,,,,,"philosophy, metaphysics, rationalism",Your library,English,English,B2580 .E5,[1514389002],"[1514389002, 9781514389003]",Monadology > Early works to 1800,193,German > Modern western philosophy > Philosophy and Psychology,,1,amazon.com books,2015-11-10,,,242892,,,,
123222065,"Discourse on Method and Meditations on First Philosophy, 4th Ed.",1,"Descartes, René",Author,"Cress, Donald A.",Translator,"Hackett Publishing Company (1999), Edition: 4th, 128 pages",1999,,,,,"Discourse on Method and Meditations on First Philosophy, 4th Ed. by René Descartes (1999)",Paperback,128 p.; 8.3 inches,0.22 pounds,8.3 inches,0.3 inches,5.3 inches,8.3 x 5.3 x 0.3 inches,128 ,,,,,,,"philosophy, metaphysics, rationalism, skepticism, doubt",Your library,English,French,B1853 .E5,[0872204200],"[0872204200, 9780872204201]",0,194,French > Modern western philosophy > Philosophy and Psychology,,1,amazon.com books,2015-11-10,,,16626,,,,
123222082,The Idea of the Holy,5,"Otto, R.",Author,"Harvey, John W.",Translator,"Oxford University Press (1958), Edition: 2, 256 pages",1958,,,,,The Idea of the Holy by R. Otto (1958),Paperback,256 p.; 8 inches,0.4 pounds,8 inches,5.31 inches,0.51 inches,8 x 0.51 x 5.31 inches,256 ,,,,,,,"philosophy, metaphysics, aesthetics, holy, divine, religion, christianity",Your library,English,English,BL48 .O82,[0195002105],"[0195002105, 9780195002102]",0,200,Religion > Religion > Religion ,,1,amazon.com books,2015-11-10,,,80881,,,,
123222099,Pensees (Penguin Classics),1,"Pascal, Blaise",Author,"Krailsheimer, A. J.",Translator,"Penguin Classics (1995), Edition: Reissue, 333 pages",1995,,,,,Pensees (Penguin Classics) by Blaise Pascal (1995),Paperback,333 p.; 5.07 inches,0.6 pounds,5.07 inches,7.75 inches,0.84 inches,5.07 x 0.84 x 7.75 inches,333 ,,,,,,,"philosophy, metaphysics, rationalism, christianity, christian history, theology",Your library,English,English,B1901 .P42,[0140446451],"[0140446451, 9780140446456]",Apologetics > 17th century|Apologetics > Early works to 1800|Catholic Church > Apologetic works > Early works to 1800|Catholic Church > Controversial literature > Early works to 1800|Catholic Church > Doctrinal and controversial works > Catholic authors|Catholic Church > Doctrines > Catholic authors|Catholic Church > Doctrines > Early works to 1800|Catholic church > Doctrinal and controversial works > Catholic authors|Jansenists > Early works to 1800|Jesuits > Early works to 1800|Philosophy|Philosophy > Early works to 1800|Port-Royal des Champs (Abbey)|Religion|philosophy|religion,230.2,Christianity > Christianity > Pre-reformation and Roman Catholic > Religion ,,1,amazon.com books,2015-11-10,,,6179008,,,,
123222205,The Enneads: Abridged Edition (Classics S),5,Plotinus,Author,"Dillon, John|MacKenna, Stephan",Editor|Translator,"Penguin Classics (1991), Edition: Abridged, 688 pages",1991,,,,,The Enneads: Abridged Edition (Classics S) by Plotinus (1991),Paperback,688 p.; 5.08 inches,1 pound,5.08 inches,7.78 inches,1.21 inches,5.08 x 1.21 x 7.78 inches,688 ,,,,,,,"philosophy, metaphysics, nature of man, metaethics, ancient philosophy",Your library,English,English,B693 .E59,[014044520X],"[014044520X, 9780140445206]",,186.4,"Alexandrian, Neo-Platonic: Philo, Plotinus, Prodclus, Porphyry, Iamblichus > Ancient, medieval and eastern philosophy > Philosophy and Psychology > Pyrrhonist; New Platonist ",,1,amazon.com books,2015-11-10,,,9600827,,,,
123222243,"The Gift of Death, Second Edition & Literature in Secret (Religion and Postmodernism)",5,"Derrida, Jacques",Author,"Wills, David",Translator,"University Of Chicago Press (2007), Edition: 2, 160 pages",2007,,,,,"The Gift of Death, Second Edition & Literature in Secret (Religion and Postmodernism) by Jacques Derrida (2007)",Paperback,160 p.; 5.5 inches,0.49 pounds,5.5 inches,8.5 inches,0.7 inches,5.5 x 0.7 x 8.5 inches,160 ,,,,,,,"philosophy, religion, death, philosophy of death, abraham, fear and trembling",Your library,English,English,B2430 .D483,[9780226142777],"[9780226142777, 0226142779]",,194,French > Modern western philosophy > Philosophy and Psychology,,1,amazon.com books,2015-11-10,,,4133673,,,,
123222264,This Is It: and Other Essays on Zen and Spiritual Experience,1,"Watts, Alan W.",Author,,,"Vintage (2011), 160 pages",2011,,,,,This Is It: and Other Essays on Zen and Spiritual Experience by Alan W. Watts (2011),Ebook,,,,,,,160 ,,,,,,,"philosophy, buddhism, life, living, metaphysics",Your library,English,English,BL625 .W35,,,Mysticism|Zen Buddhism|Zen buddhism,294.34,Buddhism > Buddhism - practice > Other Religions > Religion  > Religions of Indic origin,,1,amazon.com books,2015-11-10,,,208226,,,,
123222360,Incomplete Nature: How Mind Emerged from Matter,1,"Deacon, Terrence W.",Author,,,"W. W. Norton & Company (2013), Edition: 1, 624 pages",2013,,,,,Incomplete Nature: How Mind Emerged from Matter by Terrence W. Deacon (2013),Paperback,624 p.; 6.1 inches,1.55 pounds,6.1 inches,9.3 inches,1.7 inches,6.1 x 1.7 x 9.3 inches,624 ,,,,,,,"philosophy, metaphysics, philosophy of mind, memes, consciousness",Your library,English,English,QP411 .D43,[0393343901],"[0393343901, 9780393343908]",,612.8,Medicine > Nervous system > Physiology > Technology,,1,amazon.com books,2015-11-10,,,11781353,,,,
123222368,The Symbolic Species: The Co-evolution of Language and the Brain,5,"Deacon, Terrence W.",Author,,,"W. W. Norton & Company (1998), 528 pages",1998,,,,,The Symbolic Species: The Co-evolution of Language and the Brain by Terrence W. Deacon (1998),Paperback,528 p.; 6.2 inches,1.55 pounds,6.2 inches,9.2 inches,1.3 inches,6.2 x 1.3 x 9.2 inches,528 ,,,,,,,"philosophy, metaphysics, philosophy of mind, memes, consciousness, philosophy of language",Your library,English,English,QP399 .D43,[0393317544],"[0393317544, 9780393317541]",Animal Communication|Animal communication|Brain > Evolution|Language and languages > Philosophy|Neurolinguistics|Psycholinguistics,153.6,Cognition And Memory > Communication > Philosophy and Psychology > Psychology,,1,amazon.com books,2015-11-10,,,106746,,,,
123222414,The Evolving Self: Problem and Process in Human Development,5,"Kegan, Robert",Author,,,"Harvard University Press (1983), Edition: Reprint, 336 pages",1982,,,,,The Evolving Self: Problem and Process in Human Development by Robert Kegan (1982),Paperback,336 p.; 9.28 inches,0.85 pounds,9.28 inches,0.9 inches,6.05 inches,9.28 x 6.05 x 0.9 inches,336 ,,,,,,,"philosophy, metaphysics, philosophy of mind, memes, consciousness, identity theory, evolution",Your library,English,English,BF713 .K44,[0674272315],"[0674272315, 9780674272316]","Developmental psychology|Meaning (Psychology)|Personality change|Piaget, Jean, 1896-|Piaget, Jean, 1896-1980|Psychotherapy|Self|psychotherapy",155.25,Character and Personality Development > Developmental And Differential Psychology > Individual Psychology > Philosophy and Psychology > Psychology,,1,amazon.com books,2015-11-10,,,136511,,,,
123222430,Mind: A Brief Introduction (Fundamentals of Philosophy Series),1,"Searle, John R.",Author,,,"Oxford University Press (2005), Edition: 1, 240 pages",2005,,,,,Mind: A Brief Introduction (Fundamentals of Philosophy Series) by John R. Searle (2005),Paperback,240 p.; 8.1 inches,0.61 pounds,8.1 inches,5.4 inches,0.7 inches,8.1 x 0.7 x 5.4 inches,240 ,,,,,,,"philosophy, metaphysics, philosophy of mind, memes, consciousness, identity theory, evolution",Your library,English,English,BD418.3 .S4,[0195157346],"[0195157346, 9780195157345]",Philosophy of Mind|Philosophy of mind|philosophy of mind,128.2,Mind > Philosophy Of Humanity > Philosophy and Psychology > The Human Condition,,1,amazon.com books,2015-11-10,,,107946,,,,
123222451,A Contemporary Introduction to Free Will,3,"Kane, Robert",Author,,,"Oxford University Press (2005), Edition: 1, 208 pages",2005,,4,,,A Contemporary Introduction to Free Will by Robert Kane (2005),Paperback,208 p.; 8.2 inches,0.53 pounds,8.2 inches,5.4 inches,0.7 inches,8.2 x 0.7 x 5.4 inches,208 ,,,,,,,"philosophy, metaphysics, philosophy of mind, philosophy of language",Your library,English,English,BJ1461 .K365,[019514970X],"[019514970X, 9780195149708]",Free will and determinism,123.5,"Chance, Free Will, And Necessity > Free Will > Philosophy Of Humanity > Philosophy and Psychology",,1,amazon.com books,2015-11-10,,,540214,,,,
123222470,A History of Psychology: Ideas and Context (4th Edition),3,"King, D. Brett",Author,,,"Pearson (2008), Edition: 4, 544 pages",2008,,,,,A History of Psychology: Ideas and Context (4th Edition) by D. Brett King (2008),Hardcover,544 p.; 7.2 inches,2.07 pounds,7.2 inches,9.3 inches,0.9 inches,7.2 x 0.9 x 9.3 inches,544 ,,,,,,,"philosophy, metaphysics, philosophy of mind, free will, compatablism",Your library,English,English,BF38 .V56,[0205512135],"[0205512135, 9780205512133]",,150.9,Biography; History By Place > Philosophy and Psychology > Psychology > Psychology,,1,amazon.com books,2015-11-10,,,7740452,,,,
123222493,The Art of Reasoning (Third Edition),5,"Kelley, David",Author,,,"W. W. Norton & Company (1998), Edition: Third Edition, 704 pages",1998,,,,,The Art of Reasoning (Third Edition) by David Kelley (1998),Paperback,704 p.; 6.5 inches,1.8 pounds,6.5 inches,9.2 inches,1.1 inches,6.5 x 1.1 x 9.2 inches,704 ,,,,,,,"philosophy, epistemology, induction, logic, reason, reasoning, kelley, objectivism",Your library,English,English,BC177 .K38,[0393972135],"[0393972135, 9780393972139]",Logic|Reasoning,160,Logic > Logic > Philosophy and Psychology,,1,amazon.com books,2015-11-10,,,13755,,,,
123222516,Cognition and Perception: How Do Psychology and Neural Science Inform Philosophy? (Bradford Books),1,"Raftopoulos, Athanassios",Author,,,"The MIT Press (2011), Edition: 1, 448 pages",2011,,,,,Cognition and Perception: How Do Psychology and Neural Science Inform Philosophy? (Bradford Books) by Athanassios Raftopoulos (2011),Ebook,,,,,,,448 ,,,,,,,"philosophy, epistemology, perception",Your library,English,English,,,,,121.34,"Epistemology > Origin, sources, means of knowledge > Perception > Philosophy Of Humanity > Philosophy and Psychology",,1,amazon.com books,2015-11-10,,,8875430,,,,
123222522,The Evidence of the Senses: A Realist Theory of Perception,5,"Kelley, David",Author,,,"Louisiana State University Press (1986), Edition: First Edition, 262 pages",1986,,4.5,,,The Evidence of the Senses: A Realist Theory of Perception by David Kelley (1986),Hardcover,262 p.; 9.3 inches,1.35 pounds,9.3 inches,1.2 inches,6.2 inches,9.3 x 6.2 x 1.2 inches,262 ,,,,,,,"philosophy, epistemology, logic, reason, reasoning, induction, kelley, objectivism",Your library,English,English,B828.45 .K45,[0807112682],"[0807112682, 9780807112687]","Knowledge, Theory of|Knowledge, theory of|Perception (Philosophy)|Senses and sensation",121.3,"Epistemology > Origin, sources, means of knowledge > Philosophy Of Humanity > Philosophy and Psychology",,1,amazon.com books,2015-11-10,,,13838,,,,
123222543,"The Postmodern Condition: A Report on Knowledge (Theory and History of Literature, Volume 10)",5,"Lyotard, Jean-François",Author,"Jameson, Fredric|Massumi, Brian|Geoff Bennington",Foreword|Translator|Translator,"University Of Minnesota Press (1984), Edition: 1st, 144 pages",1984,,,,,"The Postmodern Condition: A Report on Knowledge (Theory and History of Literature, Volume 10) by Jean-François Lyotard (1984)",Paperback,144 p.; 6 inches,0.43 pounds,6 inches,9 inches,0.4 inches,6 x 0.4 x 9 inches,144 ,,,,,,,"philosophy, epistemology, postmodernism",Your library,English,English,BD162 .L913,[0816611734],"[0816611734, 9780816611737]","Civilization, Modern|Civilization, Modern > 20th century|Civilization, modern|Knowledge, Theory of|Knowledge, theory of|Postmodernism|postmodernism",001,Computing And Information > Information > Knowledge,,1,amazon.com books,2015-11-10,,,12952,,,,
123222585,Patterns of Discovery: An Inquiry Into the Conceptual Foundations of Science,1,"Hanson, N. R.",Author,,,Cambridge University Press (1961),1961,,,,,Patterns of Discovery: An Inquiry Into the Conceptual Foundations of Science by N. R. Hanson (1961),Hardcover,8 inches,0.85 pounds,8 inches,2.1 inches,5.3 inches,8 x 5.3 x 2.1 inches,,,,,,,,"philosophy, epistemology, philosophy of science, induction",Your library,English,English,Q175 .H27,,,Science > Philosophy,501,General Science > Mathematics and Science > Theory And Instruction,,1,amazon.com books,2015-11-10,,,865551,,,,
123222593,"Observation and Explanation: a Guide to Philosophy of Science, 1st, First Edition",1,"Hanson, Norwood Russell",Author,,,"Harper & Row (1971), Edition: 1st, First Edition",1971,,,,,"Observation and Explanation: a Guide to Philosophy of Science, 1st, First Edition by Norwood Russell Hanson (1971)",Paperback,,,,,,,,,,,,,,"philosophy, epistemology, philosophy of science",Your library,,,Q175 .H268,,,,501,General Science > Mathematics and Science > Theory And Instruction,,1,amazon.com books,2015-11-10,,,3361175,,,,
123222601,Writing and Difference,1,"Derrida, Jacques",Author,"Bass, Alan",Translator,"University of Chicago Press (1980), Edition: Reprint, 1993, 362 pages",1978,,,,,Writing and Difference by Jacques Derrida (1978),Paperback,362 p.; 6 inches,1.07 pounds,6 inches,9 inches,0.83 inches,6 x 0.83 x 9 inches,362 ,,,,,,,"philosophy, epistemology, philosophy of science",Your library,English,English,B2430 .D482,[0226143295],"[0226143295, 9780226143293]",Authorship|Literature > Philosophy|Philosophy|philosophy,190,Modern Philosophers > Modern western philosophy > Philosophy and Psychology,,1,amazon.com books,2015-11-10,,,1832680,,,,
123222614,Objective Knowledge: An Evolutionary Approach,1,"Popper, Karl R.",Author,,,"Oxford University Press (1972), Edition: Revised, 390 pages",1972,,,,,Objective Knowledge: An Evolutionary Approach by Karl R. Popper (1972),Paperback,390 p.; 8.4 inches,0.95 pounds,8.4 inches,5.4 inches,0.8 inches,8.4 x 0.8 x 5.4 inches,390 ,,,,,,,"philosophy, epistemology, philosophy of language, difference",Your library,English,English,BD161 .P727,[0198750242],"[0198750242, 9780198750246]","Induction (Logic)|Knowledge, Theory of|Knowledge, theory of",121,Epistemology > Philosophy Of Humanity > Philosophy and Psychology,,1,amazon.com books,2015-11-10,,,45948,,,,
123222646,"Silence: Lectures and Writings, 50th Anniversary Edition",1,"Cage, John",Author,"Gann, Kyle",Contributor,"Wesleyan (2013), Edition: 50 Anv, 312 pages",2013,,,,,"Silence: Lectures and Writings, 50th Anniversary Edition by John Cage (2013)",Paperback,312 p.; 8.2 inches,1.15 pounds,8.2 inches,0.9 inches,7 inches,8.2 x 7 x 0.9 inches,312 ,,,,,,,"philosophy, epistemology, induction, knowledge, concept formation, logical positivism",Your library,English,English,ML60 .C13,[0819573655],"[0819573655, 9780819573650]",Music|Music > History and Criticism|Music > History and criticism,780.8,Arts and Recreation > Culture Studies > Music > Music,,1,amazon.com books,2015-11-10,,,186979,,,,
123222666,A Theory of Abstraction,3,"Kelley, David",Author,,,"The Objectivist Center (2001), 34 pages",2001,,,,,A Theory of Abstraction by David Kelley (2001),Paperback,34 p.; 8.5 inches,0.2 pounds,8.5 inches,0.2 inches,5.3 inches,8.5 x 5.3 x 0.2 inches,34 ,,,,,,,"philosophy, postmodernism, aesthetics, language",Your library,,,,[1577240626],"[1577240626, 9781577240624]",,,,,1,amazon.com books,2015-11-10,,,3857371,,,,
123222696,Pragmatism (Philosophical Classics) by William James unknown Edition [Paperback(1995)],1,,,,,"Dover Publications, Edition: unknown",?,,,,,Pragmatism (Philosophical Classics) by William James unknown Edition [Paperback(1995)] (?),Paperback,,,,,,,,,,,,,,"philosophy, epistemology, abstraction, induction, objectivism, kelley, short",Your library,,English,B832 .J2,,,Philosophy|Pragmatism|Truth|philosophy|pragmatism,144.3,"Humanism, Pragmatism, And Utilitarianism > Philosophical Systems > Philosophy and Psychology > Pragmatism",,1,amazon.com books,2015-11-10,,,45959,,,,
123222705,Consilience: The Unity of Knowledge,1,"Wilson, Edward Osborne",Author,,,"Vintage (1999), Edition: Reprint, 384 pages",1999,,,,,Consilience: The Unity of Knowledge by Edward Osborne Wilson (1999),Paperback,384 p.; 5.14 inches,0.62 pounds,5.14 inches,7.98 inches,0.73 inches,5.14 x 0.73 x 7.98 inches,384 ,,,,,,,"philosophy, epistemology, pragmatism, empiricism, logical positivism",Your library,English,English,B72 .W54,[067976867X],"[067976867X, 9780679768678]","Knowledge, Theory of|Knowledge, Theory of > History|Knowledge, theory of|Large Type Books|Large type books|Order (Philosophy)|Philosophy|Philosophy and science|philosophy",121,Epistemology > Philosophy Of Humanity > Philosophy and Psychology,,1,amazon.com books,2015-11-10,,,16594,,,,
123222714,"Language, Truth and Logic (Dover Books on Western Philosophy)",1,"Ayer, Alfred J.",Author,,,"Dover Publications (1952), Edition: 2nd, 160 pages",1952,,,,,"Language, Truth and Logic (Dover Books on Western Philosophy) by Alfred J. Ayer (1952)",Paperback,160 p.; 5.5 x 0.5 inches,0.39 pounds,0.5 inches,8 inches,5.5 inches,0.5 x 5.5 x 8 inches,160 ,,,,,,,"philosophy, epistemology, knowledge, unity",Your library,English,English,B53 .A9,[0486200108],"[0486200108, 9780486200101]","Experience|Jurisprudence|Knowledge, Theory of|Knowledge, theory of|Language and languages|Language and languages > Philosophy|Logic|Philosophy|Semantics (Philosophy)|Truth|philosophy",101,Philosophy > Philosophy and Psychology > Theory And Instruction,,1,amazon.com books,2015-11-10,,,25171,,,,
123222731,Fear of Knowledge: Against Relativism and Constructivism,1,"Boghossian, Paul",Author,,,"Clarendon Press (2007), Edition: 1, 160 pages",2007,,4,,,Fear of Knowledge: Against Relativism and Constructivism by Paul Boghossian (2007),Paperback,160 p.; 8 inches,0.4 pounds,8 inches,5.4 inches,0.3 inches,8 x 0.3 x 5.4 inches,160 ,,,,,,,"philosophy, epistemology, knowledge, empiricism, logical positivism",Your library,English,English,BD221 .B64,[0199230412],"[0199230412, 9780199230419]","Constructivism (Philosophy)|Knowledge, Theory of|Knowledge, theory of|Objectivity|Relativity",121,Epistemology > Philosophy Of Humanity > Philosophy and Psychology,,1,amazon.com books,2015-11-10,,,742059,,,,
123222741,Knowledge and Practical Interests (Lines of Thought),1,"Stanley, Jason",Author,,,"Clarendon Press (2008), Edition: 1, 208 pages",2008,,4,,,Knowledge and Practical Interests (Lines of Thought) by Jason Stanley (2008),Paperback,208 p.; 7.8 inches,0.5 pounds,7.8 inches,5.3 inches,0.6 inches,7.8 x 0.6 x 5.3 inches,208 ,,,,,,,"philosophy, epistemology, knowledge, theories of knowledge, college",Your library,English,English,BD222 .S73,[0199230439],"[0199230439, 9780199230433]",,121,Epistemology > Philosophy Of Humanity > Philosophy and Psychology,,1,amazon.com books,2015-11-10,,,1170496,,,,
123222756,"Great Books Foundation - an Essay Concerning Human Understanding Book Iii, Chapters 1-3 and 9-11",1,"Locke, John",Author,,,Henry Regnery Co. (1949),1949,,,,,"Great Books Foundation - an Essay Concerning Human Understanding Book Iii, Chapters 1-3 and 9-11 by John Locke (1949)",Paperback,,,,,,,,,,,,,,"philosophy, epistemology, pragmatism, theories of knowledge, college",Your library,,,,,,,,,,1,amazon.com books,2015-11-10,,,16747804,,,,
123223235,OBJECTIVIST STUDIES: Reason and Value: Aristotle Versus Rand,3,"Long, Roderick T",Author,"Thomas, William|Miller, Fred D.|Mozes, Eyal",Editor|Commentator|Commentator,The Objectivist Center,2000,,3.5,Distributed by The Atlas Society,,OBJECTIVIST STUDIES: Reason and Value: Aristotle Versus Rand by Roderick T Long (2000),Paperback,124 p.; 9 inches,,9 inches,0.25 inches,6 inches,9 x 6 x 0.25 inches,124 ,,,,,,,"objectivism, aristotle, rand, ayn rand, fact value distinction, fact value, is ought gap, fact and value, reason, ethics, epistemology",Your library,English,English,,[1-57724-045-6],"[1-57724-045-6, 1577240456, 9781577240457]",,121,Epistemology > Philosophy Of Humanity > Philosophy and Psychology,,1,manual entry,2015-11-10,,,2605993,,,,
123223373,The biological basis of teleological concepts,5,"Binswanger, Harry",Author,,,"TOF Publications, Inc. (1990), 264 pages",1990,,,,,The biological basis of teleological concepts by Harry Binswanger (1990),Paperback,264 p.; 5.98 inches,1.23 pounds,5.98 inches,9.02 inches,0.75 inches,5.98 x 0.75 x 9.02 inches,264 ,,,,,,,,Your library,English,English,BD541 .B56,[0962533602],"[0962533602, 9780962533600]",,124,Philosophy Of Humanity > Philosophy and Psychology > Teleology,,1,amazon.com books,2015-11-10,,,1088823,,,,
123223400,Life Based Teleology and the Foundation of Ethics,1,"Binswanger, Harry",Author,,,Second Renaissance Bokks (1992),1992,,4.5,,,Life Based Teleology and the Foundation of Ethics by Harry Binswanger (1992),Pamphlet,,,,,,,,,,,,,,"philosophy, metaphysics, nature of man, metaethics, ethics, naturalism, teleology",Your library,,,,[1561141097],"[1561141097, 9781561141098]",,,,,1,amazon.com books,2015-11-10,,,3295914,,,,
